sale_id,sale_date,customer_id,product_id,quantity,sales_value,currency,sales_channel
74,2024-07-29 23:53:09.441530,nan,PROD001,1,334.94,EUR,Wholesale
75,2021-09-13 23:53:09.441530,nan,PROD006,3,177.44,USD,Retail
76,2021-11-02 23:53:09.441530,nan,PROD002,5,345.01,JPY,Retail
77,2023-02-01 23:53:09.441530,nan,PROD014,7,19.64,EUR,Online
78,2023-06-08 23:53:09.441530,nan,PROD018,1,370.46,GBP,Online
79,2024-08-20 23:53:09.441530,nan,PROD010,9,248.64,USD,Wholesale
80,2023-04-14 23:53:09.441530,nan,PROD001,5,408.46,JPY,Online
81,2022-09-25 23:53:09.441530,nan,PROD003,3,477.77,EUR,Retail
82,2022-10-22 23:53:09.441530,nan,PROD020,7,463.64,USD,Online
83,2022-06-14 23:53:09.441530,nan,PROD004,8,455.54,JPY,Online
84,2022-09-12 23:53:09.441530,nan,PROD018,3,260.96,EUR,Wholesale
85,2022-04-17 23:53:09.441530,nan,PROD008,7,186.47,USD,Retail
86,2024-06-12 23:53:09.441530,nan,PROD009,7,237.87,GBP,Wholesale
87,2021-10-09 23:53:09.441530,nan,PROD019,4,348.05,USD,Retail
88,2024-07-16 23:53:09.441530,nan,PROD002,9,443.16,JPY,Retail
89,2022-01-11 23:53:09.441530,nan,PROD009,1,111.42,JPY,Retail
90,2022-03-18 23:53:09.441530,nan,PROD003,1,459.91,GBP,Online
91,2023-10-18 23:53:09.441530,nan,PROD002,5,409.44,GBP,Wholesale
92,2024-03-16 23:53:09.441530,nan,PROD007,3,489.64,EUR,Retail
93,2024-07-21 23:53:09.441530,nan,PROD017,9,441.32,EUR,Online
94,2024-08-05 23:53:09.441530,nan,PROD017,5,147.17,JPY,Wholesale
95,2023-01-14 23:53:09.441530,nan,PROD009,7,61.92,USD,Online
96,2022-10-10 23:53:09.441530,nan,PROD001,1,65.0,GBP,Online
97,2023-11-12 23:53:09.441530,nan,PROD001,2,152.7,EUR,Retail
98,2021-12-06 23:53:09.441530,nan,PROD008,4,310.95,JPY,Wholesale
99,2023-07-14 23:53:09.441530,nan,PROD017,9,404.12,JPY,Online
100,2023-08-25 23:53:09.441530,nan,PROD008,5,450.63,JPY,Online
101,2024-04-16 23:53:09.441530,nan,PROD019,5,315.64,GBP,Online
102,2023-05-04 23:53:09.441530,nan,PROD004,9,12.76,GBP,Online
103,2023-06-03 23:53:09.441530,nan,PROD018,8,101.3,GBP,Retail
104,2024-06-23 23:53:09.441530,nan,PROD013,2,58.87,USD,Retail
105,2023-01-14 23:53:09.441530,nan,PROD007,7,188.03,GBP,Wholesale
106,2023-10-05 23:53:09.441530,nan,PROD003,1,255.66,JPY,Online
107,2022-10-01 23:53:09.441530,nan,PROD014,9,31.26,GBP,Retail
108,2024-01-17 23:53:09.441530,nan,PROD009,3,180.75,USD,Wholesale
109,2023-11-02 23:53:09.441530,nan,PROD003,2,97.8,USD,Wholesale
110,2022-09-26 23:53:09.441530,nan,PROD007,4,327.06,JPY,Retail
111,2022-03-24 23:53:09.441530,nan,PROD015,4,237.49,EUR,Retail
112,2024-07-03 23:53:09.441530,nan,PROD004,3,252.71,GBP,Online
113,2024-02-07 23:53:09.441530,nan,PROD005,2,219.57,GBP,Retail
114,2024-01-10 23:53:09.441530,nan,PROD009,5,478.45,USD,Retail
115,2023-09-11 23:53:09.441530,nan,PROD003,4,115.22,USD,Retail
116,2023-03-16 23:53:09.441530,nan,PROD016,5,263.17,EUR,Wholesale
117,2024-06-15 23:53:09.441530,nan,PROD016,8,370.65,USD,Retail
118,2021-12-03 23:53:09.441530,nan,PROD019,2,282.85,USD,Wholesale
119,2022-12-27 23:53:09.441530,nan,PROD009,9,465.22,USD,Wholesale
120,2022-04-17 23:53:09.441530,nan,PROD020,1,195.2,USD,Retail
121,2023-09-17 23:53:09.441530,nan,PROD001,8,237.2,EUR,Wholesale
122,2023-02-21 23:53:09.441530,nan,PROD017,5,53.38,GBP,Online
123,2024-07-24 23:53:09.441530,nan,PROD012,2,308.41,GBP,Online
124,2023-02-05 23:53:09.441530,nan,PROD009,8,151.22,GBP,Wholesale
125,2023-03-30 23:53:09.441530,nan,PROD005,5,88.55,GBP,Retail
126,2023-07-12 23:53:09.441530,nan,PROD015,3,276.82,GBP,Retail
127,2023-03-09 23:53:09.441530,nan,PROD013,7,270.83,JPY,Wholesale
128,2024-06-07 23:53:09.441530,nan,PROD019,4,47.18,JPY,Retail
129,2023-06-06 23:53:09.441530,nan,PROD003,6,352.13,USD,Wholesale
130,2023-11-03 23:53:09.441530,nan,PROD002,8,315.65,JPY,Online
131,2024-07-16 23:53:09.441530,nan,PROD013,1,102.62,GBP,Wholesale
132,2022-03-07 23:53:09.441530,nan,PROD007,2,240.02,USD,Wholesale
133,2023-05-24 23:53:09.441530,nan,PROD009,8,362.96,GBP,Online
134,2023-05-19 23:53:09.441530,nan,PROD010,7,269.42,GBP,Online
135,2024-04-28 23:53:09.441530,nan,PROD001,9,203.79,USD,Wholesale
136,2023-08-09 23:53:09.441530,nan,PROD016,2,167.95,GBP,Online
137,2023-06-09 23:53:09.441530,nan,PROD011,8,309.09,JPY,Online
138,2022-07-13 23:53:09.441530,nan,PROD008,6,470.16,USD,Retail
139,2023-07-14 23:53:09.441530,nan,PROD013,1,339.15,EUR,Online
140,2023-06-24 23:53:09.441530,nan,PROD016,4,46.63,EUR,Online
141,2022-11-14 23:53:09.441530,nan,PROD003,2,235.74,EUR,Wholesale
142,2023-03-16 23:53:09.441530,nan,PROD013,7,446.5,GBP,Online
143,2024-04-07 23:53:09.441530,nan,PROD017,9,56.29,GBP,Wholesale
144,2023-07-29 23:53:09.441530,nan,PROD006,6,494.55,GBP,Retail
145,2021-12-20 23:53:09.441530,nan,PROD010,4,475.04,GBP,Wholesale
146,2021-08-31 23:53:09.441530,nan,PROD009,5,48.35,USD,Wholesale
147,2023-06-02 23:53:09.441530,nan,PROD018,1,467.37,EUR,Retail
148,2022-04-06 23:53:09.441530,nan,PROD017,4,187.93,JPY,Retail
149,2024-01-01 23:53:09.441530,nan,PROD007,3,423.91,USD,Online
150,2022-09-18 23:53:09.441530,nan,PROD002,9,215.01,EUR,Wholesale
151,2024-08-10 23:53:09.441530,nan,PROD011,6,226.02,EUR,Wholesale
152,2023-08-29 23:53:09.441530,nan,PROD018,4,320.78,USD,Wholesale
153,2022-05-03 23:53:09.441530,nan,PROD003,3,389.49,USD,Retail
154,2023-12-13 23:53:09.441530,nan,PROD014,4,26.56,USD,Wholesale
155,2022-03-20 23:53:09.441530,nan,PROD020,8,300.65,JPY,Online
156,2021-12-30 23:53:09.441530,nan,PROD013,5,101.5,EUR,Retail
157,2022-10-04 23:53:09.441530,nan,PROD017,1,179.52,JPY,Wholesale
158,2023-10-05 23:53:09.441530,nan,PROD011,5,180.5,JPY,Retail
159,2022-06-19 23:53:09.441530,nan,PROD007,8,239.84,JPY,Retail
160,2022-06-05 23:53:09.441530,nan,PROD003,4,173.73,JPY,Retail
161,2024-01-30 23:53:09.441530,nan,PROD003,2,62.61,JPY,Wholesale
162,2022-03-15 23:53:09.441530,nan,PROD002,3,81.36,USD,Wholesale
163,2024-05-07 23:53:09.441530,nan,PROD016,9,26.38,JPY,Online
164,2023-09-20 23:53:09.441530,nan,PROD011,7,240.42,GBP,Retail
165,2022-01-20 23:53:09.441530,nan,PROD014,3,477.68,USD,Wholesale
166,2023-04-30 23:53:09.441530,nan,PROD003,5,66.68,EUR,Wholesale
167,2022-03-04 23:53:09.441530,nan,PROD007,3,473.67,EUR,Online
168,2022-12-06 23:53:09.441530,nan,PROD008,4,369.35,USD,Wholesale
169,2023-06-20 23:53:09.441530,nan,PROD013,8,322.37,JPY,Wholesale
170,2023-10-02 23:53:09.441530,nan,PROD019,3,326.19,USD,Wholesale
171,2024-04-10 23:53:09.441530,nan,PROD011,3,415.1,EUR,Retail
172,2022-10-06 23:53:09.441530,nan,PROD001,8,62.39,EUR,Online
173,2022-01-23 23:53:09.441530,nan,PROD019,7,257.33,USD,Online
174,2024-01-10 23:53:09.441530,nan,PROD013,7,351.57,GBP,Online
175,2022-12-31 23:53:09.441530,nan,PROD017,2,297.54,GBP,Wholesale
176,2024-03-15 23:53:09.441530,nan,PROD009,7,418.06,GBP,Wholesale
177,2023-03-03 23:53:09.441530,nan,PROD019,3,45.41,EUR,Wholesale
178,2022-08-02 23:53:09.441530,nan,PROD019,7,348.44,GBP,Retail
179,2024-01-18 23:53:09.441530,nan,PROD006,4,271.67,GBP,Retail
180,2023-06-01 23:53:09.441530,nan,PROD007,8,195.79,USD,Online
181,2022-12-15 23:53:09.441530,nan,PROD005,8,176.73,JPY,Retail
182,2022-01-27 23:53:09.441530,nan,PROD008,6,314.21,JPY,Retail
183,2022-05-19 23:53:09.441530,nan,PROD014,3,446.59,USD,Wholesale
184,2022-01-20 23:53:09.441530,nan,PROD018,6,253.13,JPY,Wholesale
185,2022-08-10 23:53:09.441530,nan,PROD020,6,414.11,GBP,Online
186,2023-05-15 23:53:09.441530,nan,PROD003,3,207.06,EUR,Wholesale
187,2024-06-11 23:53:09.441530,nan,PROD008,4,60.17,GBP,Wholesale
188,2024-01-27 23:53:09.441530,nan,PROD014,2,40.14,USD,Retail
189,2021-08-31 23:53:09.441530,nan,PROD014,1,35.15,JPY,Online
190,2024-02-12 23:53:09.441530,nan,PROD007,2,196.27,USD,Retail
191,2022-05-10 23:53:09.441530,nan,PROD006,7,175.25,USD,Online
192,2022-11-25 23:53:09.441530,nan,PROD006,5,361.79,GBP,Online
193,2024-07-25 23:53:09.441530,nan,PROD012,9,373.98,JPY,Wholesale
194,2024-06-09 23:53:09.441530,nan,PROD015,3,34.92,EUR,Retail
195,2021-09-07 23:53:09.441530,nan,PROD019,2,118.35,GBP,Retail
196,2023-11-23 23:53:09.441530,nan,PROD004,4,144.39,USD,Wholesale
197,2022-03-25 23:53:09.441530,nan,PROD003,2,278.33,USD,Online
198,2022-10-07 23:53:09.441530,nan,PROD013,7,80.81,JPY,Online
199,2022-01-28 23:53:09.441530,nan,PROD016,6,75.63,USD,Online
200,2021-10-22 23:53:09.441530,nan,PROD013,8,472.46,USD,Online
201,2023-05-19 23:53:09.441530,nan,PROD010,5,404.06,GBP,Wholesale
202,2023-04-08 23:53:09.441530,nan,PROD013,2,98.52,JPY,Online
203,2021-12-11 23:53:09.441530,nan,PROD008,4,209.22,GBP,Retail
204,2022-05-10 23:53:09.441530,nan,PROD012,1,184.25,EUR,Online
205,2023-01-21 23:53:09.441530,nan,PROD008,2,397.59,USD,Online
206,2021-12-06 23:53:09.441530,nan,PROD009,4,260.0,GBP,Online
207,2022-01-29 23:53:09.441530,nan,PROD010,6,72.65,GBP,Wholesale
208,2024-02-29 23:53:09.441530,nan,PROD007,4,372.11,JPY,Online
209,2024-01-24 23:53:09.441530,nan,PROD003,4,204.48,USD,Wholesale
210,2022-08-02 23:53:09.441530,nan,PROD005,2,138.83,GBP,Retail
211,2023-11-29 23:53:09.441530,nan,PROD003,9,193.99,USD,Online
212,2024-04-12 23:53:09.441530,nan,PROD018,8,253.9,EUR,Online
213,2022-02-06 23:53:09.441530,nan,PROD019,8,178.13,USD,Retail
214,2023-11-08 23:53:09.441530,nan,PROD010,5,128.53,USD,Online
215,2022-10-01 23:53:09.441530,nan,PROD009,3,205.27,GBP,Online
216,2023-11-23 23:53:09.441530,nan,PROD007,6,19.39,JPY,Wholesale
217,2022-10-04 23:53:09.441530,nan,PROD001,9,388.52,JPY,Wholesale
218,2023-05-31 23:53:09.441530,nan,PROD010,8,93.76,JPY,Retail
219,2024-07-21 23:53:09.441530,nan,PROD002,7,31.51,EUR,Wholesale
220,2023-07-18 23:53:09.441530,nan,PROD006,8,330.31,EUR,Wholesale
221,2022-12-02 23:53:09.441530,nan,PROD006,4,389.23,GBP,Retail
222,2024-04-10 23:53:09.441530,nan,PROD008,6,408.78,JPY,Retail
223,2022-12-12 23:53:09.441530,nan,PROD018,5,251.82,EUR,Online
224,2024-07-10 23:53:09.441530,nan,PROD007,2,110.63,JPY,Online
225,2023-09-18 23:53:09.441530,nan,PROD018,8,371.24,JPY,Online
226,2021-10-06 23:53:09.441530,nan,PROD001,3,352.86,EUR,Online
227,2022-04-16 23:53:09.441530,nan,PROD014,5,130.67,JPY,Wholesale
228,2023-03-15 23:53:09.441530,nan,PROD020,8,452.67,USD,Wholesale
229,2022-11-10 23:53:09.441530,nan,PROD007,9,61.14,GBP,Retail
230,2021-09-25 23:53:09.441530,nan,PROD020,9,491.52,EUR,Retail
231,2022-04-12 23:53:09.441530,nan,PROD007,5,431.52,EUR,Wholesale
232,2023-11-05 23:53:09.441530,nan,PROD004,2,347.07,JPY,Online
233,2022-06-09 23:53:09.441530,nan,PROD005,7,469.99,EUR,Online
234,2024-01-25 23:53:09.441530,nan,PROD001,7,363.93,USD,Online
235,2024-04-15 23:53:09.441530,nan,PROD020,8,103.32,JPY,Online
236,2022-11-25 23:53:09.441530,nan,PROD003,8,226.66,USD,Retail
237,2024-06-14 23:53:09.441530,nan,PROD013,5,45.04,GBP,Wholesale
238,2023-11-23 23:53:09.441530,nan,PROD007,1,200.93,GBP,Retail
239,2023-06-19 23:53:09.441530,nan,PROD006,4,373.39,USD,Wholesale
240,2023-02-27 23:53:09.441530,nan,PROD006,4,199.36,JPY,Online
241,2024-08-06 23:53:09.441530,nan,PROD002,3,171.84,GBP,Retail
242,2021-09-15 23:53:09.441530,nan,PROD016,8,301.72,JPY,Wholesale
243,2022-02-03 23:53:09.441530,nan,PROD006,3,437.38,JPY,Wholesale
244,2022-12-19 23:53:09.441530,nan,PROD008,5,33.32,GBP,Wholesale
245,2024-08-03 23:53:09.441530,nan,PROD011,2,198.88,GBP,Wholesale
246,2023-01-29 23:53:09.441530,nan,PROD018,6,87.54,USD,Online
247,2021-12-06 23:53:09.441530,nan,PROD006,6,350.72,JPY,Online
248,2024-07-25 23:53:09.441530,nan,PROD014,8,61.81,USD,Wholesale
249,2022-06-05 23:53:09.441530,nan,PROD015,8,335.76,EUR,Wholesale
250,2023-01-08 23:53:09.441530,nan,PROD011,1,150.23,EUR,Wholesale
251,2022-06-27 23:53:09.441530,nan,PROD015,5,107.47,EUR,Online
252,2022-02-26 23:53:09.441530,nan,PROD013,2,468.81,EUR,Retail
253,2023-04-28 23:53:09.441530,nan,PROD006,5,19.08,GBP,Wholesale
254,2023-07-30 23:53:09.441530,nan,PROD004,9,224.51,GBP,Retail
255,2024-05-18 23:53:09.441530,nan,PROD014,4,20.6,USD,Online
256,2022-03-08 23:53:09.441530,nan,PROD013,8,246.96,GBP,Online
257,2022-05-09 23:53:09.441530,nan,PROD010,1,255.51,GBP,Online
258,2024-05-06 23:53:09.441530,nan,PROD012,8,167.61,GBP,Online
259,2024-03-14 23:53:09.441530,nan,PROD008,6,74.76,EUR,Online
260,2022-01-04 23:53:09.441530,nan,PROD020,8,194.43,USD,Retail
261,2021-09-16 23:53:09.441530,nan,PROD005,6,339.41,JPY,Retail
262,2023-03-18 23:53:09.441530,nan,PROD002,3,393.37,JPY,Retail
263,2023-03-22 23:53:09.441530,nan,PROD020,8,270.07,JPY,Retail
264,2023-07-16 23:53:09.441530,nan,PROD012,5,299.02,EUR,Wholesale
265,2023-05-17 23:53:09.441530,nan,PROD006,5,108.3,GBP,Online
266,2023-12-31 23:53:09.441530,nan,PROD015,7,150.79,GBP,Retail
267,2024-04-17 23:53:09.441530,nan,PROD018,6,89.33,JPY,Retail
268,2022-01-31 23:53:09.441530,nan,PROD018,9,132.15,JPY,Wholesale
269,2023-01-01 23:53:09.441530,nan,PROD010,7,120.19,USD,Wholesale
270,2023-10-23 23:53:09.441530,nan,PROD007,3,264.53,EUR,Online
271,2022-05-02 23:53:09.441530,nan,PROD010,5,285.72,GBP,Online
272,2024-07-27 23:53:09.441530,nan,PROD005,9,473.02,JPY,Wholesale
273,2023-09-27 23:53:09.441530,nan,PROD016,2,105.83,JPY,Wholesale
274,2023-02-18 23:53:09.441530,nan,PROD019,1,324.42,USD,Wholesale
275,2024-03-07 23:53:09.441530,nan,PROD003,8,410.46,GBP,Online
276,2022-10-11 23:53:09.441530,nan,PROD007,8,284.52,GBP,Wholesale
277,2023-02-05 23:53:09.441530,nan,PROD019,2,134.95,USD,Retail
278,2023-12-05 23:53:09.441530,nan,PROD012,8,138.65,USD,Online
279,2024-02-18 23:53:09.441530,nan,PROD010,5,29.23,GBP,Online
280,2021-10-04 23:53:09.441530,nan,PROD005,2,159.67,USD,Retail
281,2023-07-15 23:53:09.441530,nan,PROD002,7,374.86,JPY,Retail
282,2021-09-18 23:53:09.441530,nan,PROD003,7,33.28,GBP,Online
283,2022-07-16 23:53:09.441530,nan,PROD014,3,117.45,EUR,Online
284,2023-01-23 23:53:09.441530,nan,PROD015,1,356.05,GBP,Wholesale
285,2022-10-03 23:53:09.441530,nan,PROD020,4,393.5,USD,Wholesale
286,2023-06-14 23:53:09.441530,nan,PROD013,2,233.11,EUR,Retail
287,2024-04-27 23:53:09.441530,nan,PROD017,4,352.06,JPY,Retail
288,2022-12-13 23:53:09.441530,nan,PROD020,8,200.1,JPY,Retail
289,2023-12-11 23:53:09.441530,nan,PROD004,2,88.36,JPY,Retail
290,2023-08-26 23:53:09.441530,nan,PROD019,1,205.09,USD,Wholesale
291,2023-12-31 23:53:09.441530,nan,PROD015,3,294.18,GBP,Online
292,2021-10-19 23:53:09.441530,nan,PROD015,7,474.55,USD,Wholesale
293,2023-03-27 23:53:09.441530,nan,PROD009,6,43.69,GBP,Retail
294,2022-01-26 23:53:09.441530,nan,PROD003,6,258.62,USD,Wholesale
295,2022-07-09 23:53:09.441530,nan,PROD002,7,171.17,JPY,Retail
296,2023-03-22 23:53:09.441530,nan,PROD007,8,259.07,USD,Wholesale
297,2022-06-30 23:53:09.441530,nan,PROD009,3,21.75,GBP,Online
298,2023-07-12 23:53:09.441530,nan,PROD005,3,163.38,JPY,Retail
299,2023-12-15 23:53:09.441530,nan,PROD017,8,411.74,JPY,Wholesale
300,2024-08-11 23:53:09.441530,nan,PROD003,7,281.43,EUR,Retail
301,2024-05-28 23:53:09.441530,nan,PROD009,5,230.79,GBP,Online
302,2022-11-16 23:53:09.441530,nan,PROD008,4,149.91,EUR,Retail
303,2023-05-04 23:53:09.441530,nan,PROD009,6,156.04,EUR,Online
304,2024-05-18 23:53:09.441530,nan,PROD017,9,197.72,EUR,Wholesale
305,2022-05-20 23:53:09.441530,nan,PROD008,6,419.43,JPY,Online
306,2024-08-10 23:53:09.441530,nan,PROD014,8,483.93,EUR,Retail
307,2024-05-29 23:53:09.441530,nan,PROD016,1,224.94,GBP,Wholesale
308,2021-09-03 23:53:09.441530,nan,PROD018,6,202.74,GBP,Retail
309,2023-10-12 23:53:09.441530,nan,PROD017,2,424.81,EUR,Retail
310,2024-01-23 23:53:09.441530,nan,PROD007,3,219.18,EUR,Wholesale
311,2024-05-17 23:53:09.441530,nan,PROD020,6,280.49,EUR,Online
312,2024-01-30 23:53:09.441530,nan,PROD015,2,123.16,EUR,Online
313,2021-10-15 23:53:09.441530,nan,PROD007,4,374.32,EUR,Wholesale
314,2024-01-13 23:53:09.441530,nan,PROD002,6,270.67,EUR,Wholesale
315,2023-11-30 23:53:09.441530,nan,PROD002,5,406.43,USD,Retail
316,2024-03-22 23:53:09.441530,nan,PROD007,6,392.56,JPY,Retail
317,2023-06-16 23:53:09.441530,nan,PROD019,6,115.35,JPY,Wholesale
318,2022-05-25 23:53:09.441530,nan,PROD006,8,360.66,JPY,Wholesale
319,2022-09-03 23:53:09.441530,nan,PROD012,9,402.03,EUR,Retail
320,2023-05-27 23:53:09.441530,nan,PROD015,5,179.59,USD,Retail
321,2023-06-17 23:53:09.441530,nan,PROD013,6,94.58,JPY,Online
322,2021-12-27 23:53:09.441530,nan,PROD007,6,11.29,GBP,Wholesale
323,2023-12-08 23:53:09.441530,nan,PROD007,6,230.94,JPY,Retail
324,2024-08-15 23:53:09.441530,nan,PROD015,2,182.69,JPY,Online
325,2023-09-09 23:53:09.441530,nan,PROD004,4,281.91,JPY,Retail
326,2021-12-24 23:53:09.441530,nan,PROD003,1,102.14,JPY,Wholesale
327,2023-10-29 23:53:09.441530,nan,PROD001,1,431.24,GBP,Online
328,2024-06-07 23:53:09.441530,nan,PROD007,1,136.3,EUR,Retail
329,2024-08-15 23:53:09.441530,nan,PROD009,7,120.95,GBP,Wholesale
330,2023-05-25 23:53:09.441530,nan,PROD001,1,245.55,GBP,Wholesale
331,2023-01-24 23:53:09.441530,nan,PROD005,6,254.44,EUR,Wholesale
332,2023-11-09 23:53:09.441530,nan,PROD015,2,115.39,GBP,Wholesale
333,2023-03-12 23:53:09.441530,nan,PROD004,6,143.21,GBP,Online
334,2022-12-30 23:53:09.441530,nan,PROD010,6,93.16,JPY,Retail
335,2024-02-12 23:53:09.441530,nan,PROD002,3,362.05,JPY,Retail
336,2023-08-03 23:53:09.441530,nan,PROD007,8,387.34,EUR,Wholesale
337,2023-04-02 23:53:09.441530,nan,PROD019,4,236.54,JPY,Retail
338,2023-10-28 23:53:09.441530,nan,PROD006,7,359.9,EUR,Wholesale
339,2024-01-07 23:53:09.441530,nan,PROD015,4,370.61,EUR,Retail
340,2022-05-03 23:53:09.441530,nan,PROD020,1,77.76,USD,Retail
341,2022-01-30 23:53:09.441530,nan,PROD012,6,483.43,EUR,Retail
342,2024-05-22 23:53:09.441530,nan,PROD011,5,412.31,GBP,Online
343,2023-07-27 23:53:09.441530,nan,PROD003,9,110.2,EUR,Wholesale
344,2024-08-26 23:53:09.441530,nan,PROD020,9,101.22,USD,Online
345,2024-08-04 23:53:09.441530,nan,PROD017,8,71.57,GBP,Retail
346,2024-06-03 23:53:09.441530,nan,PROD007,7,77.81,USD,Online
347,2021-12-01 23:53:09.441530,nan,PROD018,2,376.6,JPY,Online
